"%1$s has been updated in your wishlist.","%1$s foram atualizados em sua lista de favoritos."
"%d product(s) have been added to shopping cart: %s.","%d produto(s) foram adicionados ao carrinho de compras: %s."
"%s for ""%s"".","%s para ""%s""."
"%s has been moved to wishlist %s","%s foi transferido para os favoritos %s"
"%s's Wishlist","%s's Favoritos"
"* Required Fields","*Campos Obrigatórios"
"Add All to Cart","Adicionar Tudo ao Carrinho"
"Add to Cart","Comprar"
"Add to Compare","Comparar"
"Add to Wishlist","Adicionar aos Favoritos"
"Added From","Adicionado Por"
"An error occurred while adding item to wishlist.","Ocorreu um erro ao tentar adicionar um item aos favoritos."
"An error occurred while adding item to wishlist: %s","Ocorreu um erro ao tentar adicionar um item aos favoritos: %s"
"An error occurred while deleting the item from wishlist.","Ocorreu um erro ao tentar excluir um item dos favoritos."
"An error occurred while deleting the item from wishlist: %s","Ocorreu um erro ao tentar excluir um item dos favoritos: %s"
"An error occurred while updating wishlist.","Ocorreu um erro ao atualizar a lista de favoritos."
"Are you sure you want to remove this product from your wishlist?","Tem certeza que deseja excluir este produto dos favoritos?"
"Are you sure you would like to remove this item from the wishlist?","Tem certeza que deseja excluir este item dos favoritos?"
"Back","Voltar"
"Can\'t delete item from wishlist","Não foi possível retirar o item dos favoritos"
"Can\'t save description %s","Não foi possível salvar a descrição %s"
"Can\'t update wishlist","Não foi possível atualizar os favoritos"
"Cannot add item to shopping cart","Não foi possível adicionar item ao carrinho"
"Cannot add the following product(s) to shopping cart: %s.","Não foi possível adicionar os seguintes produtos no carrinho: %s."
"Cannot add the item to shopping cart.","Não foi possível adicionar o item ao carrinho."
"Cannot configure product","Não foi possível configurar produto"
"Cannot load wishlist item","Não foi possível carregar a lista de favoritos"
"Cannot move item to wishlist","Não foi possível mover item para os favoritos"
"Cannot specify product.","Não foi possível especificar o produto."
"Cannot specify wishlist item.","Não foi possível especificar o item dos favoritos."
"Cannot specify wishlist.","Não foi possível especificar os favoritos."
"Cannot update wishlist","Não foi possível atualizar os favoritos"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque este checkbox se você deseja adicionar um link para rss dos seus favoritos."
"Click for price","Clique para ver preço"
"Comment","Comentário"
"Comment:","Comentário:"
"Configure Wishlist Item","Configurar Item dos Favoritos"
"Configured Price:","Preço Configurado:"
"Could not find such wishlist","Não foi possível encontrar a lista de favoritos"
"Could not find wishlist","Favoritos não foi encontrado"
"Customer My Account My Wishlist","Cliente Minha Conta Favoritos"
"Customer My Account Wishlist Sharing Form","Cliente Minha Conta Favoritos Compartilhar Formulário"
"Customer Shared Wishlist View","Visualizar Compartilhamento de Favoritos dos Clientes"
"Date Added","Adicionado na Data"
"Days in Wishlist","Dias na Lista"
"Display Wishlist Summary","Exibir Resumo dos Favoritos"
"Edit","Editar"
"Email Sender","Remetente de Email"
"Email Template","Modelo de Email"
"Email address can\'t be empty.","Endereço de email deve ser preenchido."
"Email addresses, separated by commas","Endereços de email, separados por vírgula"
"Enabled","Habilitado"
"General Options","Opções Gerais"
"Go to Wishlist","Ver Favoritos"
"Helper for wishlist options rendering doesn't implement required interface.","Helper para opções de renderização dos favoritos não precisa implementar uma interface."
"In stock","Em estoque"
"Last Added Items","Últimos Itens Adicionados"
"Message","Mensagem"
"My Wishlist","Meus Favoritos"
"My Wishlist (%d item)","Favorito (%d item)"
"My Wishlist (%d items)","Favoritos (%d itens)"
"My Wishlist <small>(%d)</small>","Favoritos <small>(%d)</small>"
"My Wishlist Link","Link dos Meus Favoritos"
"Options Details","Opções Detalhadas"
"Out of stock","Sem Estoque"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Informe email válido, separado por vírgula. Exemplo johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Informe um email válido."
"Please, enter your comments...","Faça seus comentários..."
"Product","Produto"
"Product Details and Comment","Detalhes do Produto e Comentários"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produto(s) %s tem opções obrigatórias. Cada um deles pode ser adicionado separadamente no carrinho."
"Product(s) %s have required options. Each product can only be added individually.","Produto(s) %s tem opções obrigatórias. Eles devem ser adicionados individualmente."
"Qty","Qtd"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Link RSS para %s's favoritos"
"Remove Item","Excluir Item"
"Remove This Item","Excluir Este Item"
"Remove item","Excluir item"
"Requested cart item doesn't exist","Item do carrinho solicitado não existe"
"Requested wishlist doesn't exist","Favoritos solicitado não existe"
"SKU","SKU"
"Share Options","Opções de Compartilhamento"
"Share Wishlist","Compartilhar Favoritos"
"Share Your Wishlist","Compartilhe Seus Favoritos"
"Sharing Information","Compartilhando Informações"
"This Wishlist has no Items","Este Favoritos não possui Itens"
"This product(s) is currently out of stock","Este produto esta sem estoque no momento"
"Unable to add the following product(s) to shopping cart: %s.","Não foi possível adicionar os seguintes produto(s) ao carrinho: %s."
"Update Wishlist","Atualizar Favoritos"
"User Description","Descrição do Usuário"
"View Details","Ver Detalhes"
"View Product","Ver Produto"
"What's this?","O que é isso?"
"Wishlist","Favoritos"
"Wishlist Section","Seção Favoritos"
"Wishlist Sharing","Compartilhando Favoritos"
"Wishlist could not be created.","Favoritos não pode ser criado."
"Wishlist is empty now.","Favoritos está vazio."
"You have no items in your wishlist.","Você não possui nenhum produto como favorito."
"Your Wishlist has been shared.","Seus Favoritos foi compartilhada com sucesso."
