"10 minutes","10 minutos"
"15 minutes","15 minutos"
"20 minutes","20 minutos"
"30 minutes","30 minutos"
"5 minutes","5 minutos"
"Cron (Scheduled Tasks) - all the times are in minutes","Tarefas Agendadas do Cron – em minutos"
"Daily","Diariamente"
"Failure History Lifetime","Falhas na Execução"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Para o cron gerar corretamente as URLs certifique-se que Web > Https e Http possuem URLs Base corretas."
"Generate Schedules Every","Agendar execução"
"History Cleanup Every","Limpar histórico"
"Hourly","Hora em Hora"
"Invalid callback: %s::%s does not exist","Chamada inválida: %s::%s não existe"
"Invalid model/method definition, expecting ""model/class::method"".","Definição inválida modelo/método, esperado ""modelo/classe::método""."
"Minute Intervals","Intervalo de Minutos"
"Missed if Not Run Within","Perdido se não rodar com"
"Monthly","Mensalmente"
"No callbacks found","Nenhum problema encontrado"
"Schedule Ahead for","Agendar com antecedência para"
"Success History Lifetime","Histórico de Execução"
"Too late for the schedule.","Tarde demais para agendar."
"Unable to delete the cron task.","Não foi possível excluir o agendamento de tarefas."
"Unable to save the cron expression.","Não foi possível salvar o agendamento."
"Weekly","Semanalmente"
