"Alert Email Sender","Remetente para Email de Avisos"
"Alert subscription has been saved.","Este aviso foi salvo com sucesso."
"Allow Alert When Product Comes Back in Stock","Avisar quando houver produto em estoque"
"Allow Alert When Product Price Changes","Avisar quando houver alteração no preço do produto"
"Click here not to receive alerts for this product","Clique aqui para não receber mais avisos deste produto"
"Error Email Recipient","Destinatário para Email de Erro"
"Error Email Sender","Remetente para Email de Erro"
"Error Email Template","Modelo para Email de Erro"
"Frequency","Frequência"
"Not enough parameters.","Faltam parâmetros."
"Price Alert Email Template","Modelo para Email de Novos Preços"
"Price:","Preço:"
"Product Alerts","Aviso de Produtos"
"Product Alerts Run Settings","Configurações de Aviso de Produtos"
"Product alerts Cron error","Erro ao agendar aviso de produtos"
"Product price alert","Aviso de preços de produtos"
"Product stock alert","Aviso de estoque de produtos"
"Regular Price:","Preço:"
"Sign up for price alert","Receber aviso de novos preços"
"Sign up to get notified when this product is back in stock","Avise-me quando este produto voltar ao estoque"
"Special price:","Preço Promocional:"
"Start Time","Hora Início"
"Stock Alert Email Template","Modelo para Email de Estoque"
"The alert subscription has been deleted.","A assinatura para aviso foi excluída."
"The alert subscription has been saved.","A assinatura para aviso foi salva."
"The product is not found.","O produto não foi encontrado."
"The product was not found.","O produto não foi encontrado."
"Unable to update the alert subscription.","Não foi possível atualizar a assinatura de avisos."
"Unsubscribe from all price alerts","Não receber mais nenhum email de aviso de preços"
"Unsubscribe from all stock alerts","Não receber mais nenhum email de aviso de estoque"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Você está recebendo esta mensagem porque solicitou um aviso quando este produto retornasse ao estoque:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Você está recebendo esta mensagem porque solicitou um aviso quando o preço para este produto fosse alterado:"
"You will no longer receive price alerts for this product.","Você não ira mais receber avisos de preços para este produto."
"You will no longer receive stock alerts for this product.","Você não ira mais receber avisos de estoque para este produto."
"You will no longer receive stock alerts.","Você não ira mais receber avisos de estoque."
