"Action","Ação"
"Add Sitemap","Criar Sitemap"
"Always","Sempre"
"CMS Pages Options","Opções de Páginas CMS"
"Categories Options","Opções de Categorias"
"Daily","Diariamente"
"Edit Sitemap","Editar Sitemap"
"Enabled","Habilitado"
"Error Email Recipient","Destinatário para Email de Erro"
"Error Email Sender","Remetente para Email de Erro"
"Error Email Template","Modelo para Email de Erro"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Arquivo ""%s"" não foi salvo. Verifique se o diretório ""%s"" possui permissão de escrita no servidor."
"Filename","Nome do Arquivo"
"Frequency","Frequência"
"Generate","Gerar"
"Generation Settings","Opções de Geração"
"Google Sitemap","Google Sitemap"
"Hourly","Hora"
"ID","ID"
"Last Time Generated","Última Geração"
"Link for Google","Link para o Google"
"Monthly","Mensalmente"
"Never","Nunca"
"New Sitemap","Novo Sitemap"
"Path","Caminho do Diretório"
"Please create the specified folder ""%s"" before saving the sitemap.","Crie a pasta ""%s"" antes de salvar o sitemap."
"Please define correct path","Informe um caminho correto"
"Please make sure that ""%s"" is writable by web-server.","Verifique se ""%s"" possui permissão de escrita no servidor."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Use apenas letras (a-z ou A-Z), números (0-9) ou underline (_) no nome do arquivo. Espaços ou outros caracteres não são permitidos."
"Priority","Prioridade"
"Products Options","Opções de Produtos"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Alertas de Geração de Sitemap"
"Start Time","Hora de Início"
"Store View","Visão"
"The priority must be between 0 and 1.","Obrigatoriamente entre 0 e 1."
"The sitemap ""%s"" has been generated.","O sitemap ""%s"" foi gerado com sucesso."
"The sitemap has been deleted.","O sitemap foi excluído."
"The sitemap has been saved.","O sitemap foi salvo."
"This sitemap no longer exists.","Este sitemap não existe mais."
"Unable to find a sitemap to delete.","Não foi possível encontrar um sitemap para excluir."
"Unable to find a sitemap to generate.","Não foi possível encontrar um sitemap para gerar."
"Unable to generate the sitemap.","Não foi possível gerar o sitemap."
"Valid values range: from 0.0 to 1.0.","Valores válidos entre: 0.0 e 1.0."
"Weekly","Semanalmente"
"Yearly","Anualmente"
