"3D Secure CAVV","Segurança 3D CAVV"
"3D Secure Card Validation","Segurança 3D Validar Cartão"
"3D Secure Cardholder Validation","Segurança 3D Validar Titular"
"3D Secure Electronic Commerce Indicator","Segurança 3D Indicar de Comércio Eletrônico"
"3D Secure Verification Result","Segurança 3D Verificar Resultado"
"3D Secure XID","Segurança 3D XID"
"Card Issuer Liability","Responsabilidade do Emissor do Cartão"
"Card Verification","Verificando Cartão"
"Enrolled","Matriculados"
"Enrolled but Authentication Unavailable","Matriculado mas Autenticação Não Disponível"
"Failed","Falha"
"MasterCard SecureCode","MasterCard Código de Segurança"
"Merchant Liability","Responsabilidade do Vendedor"
"Not Enrolled","Não Inscrito"
"Order cannot be placed.","Pedido não pode ser colocado."
"Payment information error. Please start over.","Erro na informação de pagamento. Reinicie o processo."
"Please continue with placing order.","Continuar com pedido."
"Please verify the card with the issuer bank before placing the order.","Verifique o cartão com o banco emissor antes de continuar."
"Please verify the card with the issuer bank:","Verifique o cartão com o banco emissor:"
"Start/Reset Validation...","Iniciar/Reiniciar Validação..."
"Successful","Sucesso"
"Successful attempt","Tentativa bem sucedida"
"The card has failed verification with the issuer bank.","A verificação do cartão falhou com o banco emissor."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Ocorreu um erro com as informações de pagamento enviadas ou excedeu o tempo limite. Tente novamente."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Ocorreu um erro com as informações de pagamento enviadas ou excedeu o tempo limite. Tente novamente."
"This card has failed validation and cannot be used.","A validação deste cartão falhou e não pode ser usado."
"To ensure the security of your transactions","Para garantir a segurança de suas transações"
"Unable to complete","Não foi possível completar"
"Validation failed.","Validação falhou."
"Verification Failed","Verificação Falhou"
"Verification Successful","Verificado com Sucesso"
"Verification cannot be processed","Verificação não pode ser processada"
"Verified by Visa","Verificado pela Visa"
