"Add","Adicionar"
"Add gift message for shopping cart","Adicionar mensagem de presente no carrinho de compras"
"Add gift messages for quote item of shopping cart","Adicionar mensagem de presente para cada item do carrinho de compras"
"Add gift messages to products of shopping cart","Adicionar mensagem de presente para produtos no carrinho de compras"
"Add gift options","Adicionar opção de presente"
"Add gift options for Individual Items","Adicionar opção de presente por itens"
"Add gift options for the Entire Order","Adicionar opção de presente por pedido"
"Add gift options.","Adicionar opção de presente."
"Allow Gift Messages for Order Items","Permitir mensagens de presentes para itens do pedido"
"Allow Gift Messages on Order Level","Permitir mensagens de presentes em qualquer etapa do pedido"
"An error occurred while saving the gift message.","Ocorreu um erro ao salvar a mensagem."
"Are you sure?","Você tem certeza?"
"Cancel","Cancelar"
"Do you have any gift items in your order?","Você tem algum item para presente no seu pedido?"
"Edit","Editar"
"From","De"
"Gift Message","Mensagem para Presente"
"Gift Message API","API Mensagem para Presente"
"Gift Options","Opções de Presente"
"Gift Options for","Opção de Presente para"
"Gift Options for Individual Items","Opção de presente por item"
"Gift Options for the Entire Order.","Opção de presente por pedido."
"Gift Options for this address.","Opção de presente para este endereço."
"Item %d of %d","Item %d de %d"
"Message","Mensagem"
"No","Não"
"OK","OK"
"Save Gift Message","Salvar Mensagem para Presente"
"The gift message has been removed","A mensagem de presente foi excluída com sucesso"
"The gift message has been saved","A mensagem de presente foi salva com sucesso"
"The gift message has been saved.","A mensagem de presente foi salva com sucesso."
"To","Para"
"Unknown entity type","Tipo de entidade desconhecido"
"Use config","Usar configuração"
"Yes","Sim"
"You can leave this box blank if you do not wish to add a gift message for the item.","Apenas deixe em branco se você não deseja incluir uma mensagem de presente para este item."
"You can leave this box blank if you do not wish to add a gift message for this address.","Apenas deixe em branco se você não deseja incluir uma mensagem de presente para este endereço."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Apenas deixe em branco se você não deseja incluir uma mensagem de presente para todo pedido."
