"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atenção</strong>: Captcha diferencia maiúsculas e minúsculas."
"After number of attempts to login","Depois de diversas tentativas de login"
"Always","Sempre"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","CAPTCHA Expira (minutos)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA para ""Criar usuário"" e ""Esqueceu a senha"" sempre exibido se habilitado"
"Case Sensitive","Diferencia Maiúsculas/Minúsculas"
"Displaying Mode","Modo Exibindo"
"Enable CAPTCHA in Admin","Habilitar CAPTCHA no Admin"
"Enable CAPTCHA on Frontend","Habilitar CAPTCHA no Frontend"
"Font","Fonte"
"Forms","Forms"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Se for informado 0 (zero), CAPTCHA no formulário de Login será sempre apresentado."
"Incorrect CAPTCHA.","CAPTCHA Incorreto."
"Number of Symbols","Número de Símbolos"
"Number of Unsuccessful Attempts to Login","Número de Tentativas"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Informe no máximo 8 símbolos. Variação permitida (ex. 3-5)"
"Please type the letters below","Digite as letras abaixo"
"Please type the letters from the image:","Repita as letras da imagem:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Utilize apenas letras (a-z or A-Z) ou números (0-9) neste campo. Espaços e outros caracteres não são permitidos.<br />Caracteres parecidos (ex. ""i"", ""l"", ""1"") diminuem a chance de acerto do cliente."
"Reload captcha","Atualizar captcha"
"Symbols Used in CAPTCHA","Símbolos Usados no CAPTCHA"
