"Add Recipient","Adicionar Email"
"Allow for Guests","Permitir Visitantes"
"An invalid email address for recipient was entered.","O endereço de e-mail informado não é válido."
"At least one recipient must be specified.","Ao menos um e-mail deve ser informado."
"Back","Voltar"
"Catalog Product Email to a Friend","Email de Catálogo de Produtos a um Amigo"
"Email Address","Endereço de Email"
"Email Address:","Endereço de Email:"
"Email Templates","Configurações de Envio"
"Email to a Friend","Envie a um Amigo"
"Email:","Email:"
"Enabled","Habilitado"
"Invalid Sender Information","Informação de Remetente Inválido"
"Invalid sender email.","Email do remetente inválido."
"Limit Sending By","Limitar Envior Por"
"Max Products Sent in 1 Hour","Máx. de Produtos Enviados por Hora"
"Max Recipients","Máx. de Destinatários"
"Maximum %d email addresses allowed.","Máximo %d emails permitidos."
"Message:","Mensagem:"
"Name","Nome"
"Name:","Nome:"
"No more than %d emails can be sent at a time.","Limite máximo de %d emails por envio."
"Please define a correct Cookie instance.","Defina corretamente o exemplo de Cookie."
"Please define a correct Product instance.","Defina corretamente o exemplo de Produto."
"Please define the correct Sender information.","Defina corretamente a informação de Envio."
"Recipient:","Destinatário:"
"Remove Email","Remover Email"
"Select Email Template","Selecione o Modelo de Email"
"Send Email","Enviar email"
"Send product to a friend","Envie este produto a um amigo"
"Sender:","Remetente:"
"Some emails were not sent.","Alguns emails não foram enviados."
"The link to a friend was sent.","O link foi enviado ao(s) seu(s) amigo(s)."
"The message cannot be empty.","A mensagem deve ser preenchida."
"The messages cannot be sent more than %d times in an hour","Não é possível enviar mais do que %d mensagens por hora"
"The sender name cannot be empty.","O nome do remetente deve ser preenchido."
"There were some problems with the data.","Foram encontrados problemas nas informações."
"You have exceeded limit of %d sends in an hour","Você ultrapassou o limite de %d envios por hora"
